id,name,release_date,price,positive_reviews,negative_reviews
2100,"Dark Messiah of Might & Magic",2006-10-25,9.99,7630,685
2130,"Dark Messiah of Might & Magic",2006-10-25,9.99,4769,355
2200,"Quake III Arena",2007-08-03,14.99,2736,127
2270,"Wolfenstein 3D",2007-08-03,4.99,2740,170
2280,"Ultimate Doom",2007-08-03,4.99,11912,437
2290,"Final DOOM",2007-08-03,4.99,1005,177
2300,"DOOM II",2007-08-03,4.99,5978,319
2310,QUAKE,2007-08-03,9.99,10055,428
2320,"QUAKE II",2007-08-03,4.99,3071,275
2330,"QUAKE II Mission Pack: The Reckoning",2007-08-03,2.99,148,34
2340,"QUAKE II Mission Pack: Ground Zero",2007-08-03,2.99,125,85
2350,"QUAKE III: Team Arena",2007-08-03,14.99,207,50
2360,"HeXen: Beyond Heretic",2007-08-03,4.99,461,57
2370,"HeXen: Deathkings of the Dark Citadel",2007-08-03,4.99,110,31
2390,"Heretic: Shadow of the Serpent Riders",2007-08-03,4.99,766,45
2400,"The Ship: Murder Party",2006-07-11,9.99,5052,840
2420,"The Ship: Single Player",2006-11-20,0.00,634,268
2500,Shadowgrounds,2006-05-08,6.99,1161,282
2520,"Gumboy - Crazy Adventures™",2006-12-19,4.99,61,58
2525,"Gumboy - Crazy Adventures™",2006-12-19,4.99,54,49
2540,"RIP - Trilogy™",2007-06-01,4.99,215,149
2545,"RIP - Trilogy™",2007-06-01,4.99,204,136
2550,"RIP - Trilogy™",2007-06-01,4.99,204,136
2570,"Vigil: Blood Bitterness™",2007-06-29,0.00,29,115
2590,"Alpha Prime",2007-11-07,4.99,732,615
2600,"Vampire: The Masquerade - Bloodlines",2007-03-22,19.99,10590,568
2610,GUN™,2006-10-13,19.99,1265,129
2620,"Call of Duty®",2006-10-13,19.99,3842,216
2630,"Call of Duty® 2",2006-10-13,19.99,6350,449
2640,"Call of Duty: United Offensive",2006-10-13,19.99,1142,170
2700,"RollerCoaster Tycoon® 3: Platinum",2008-03-12,0.00,4463,431
2710,"Act of War: Direct Action",2008-03-12,2.99,395,50
2720,"ThreadSpace: Hyperbol",2007-07-12,4.99,35,11
2780,"ARMA: Combat Operations",2008-03-12,7.99,169,76
2800,"X2: The Threat",2006-07-21,4.99,326,66
2810,"X3: Reunion",2006-07-21,9.99,406,161
2820,"X3: Terran Conflict",2008-10-16,15.99,2154,374
2900,"688(I) Hunter/Killer",2006-10-26,1.99,116,37
2910,"Fleet Command",2006-10-26,5.99,280,49
2920,"Sub Command",2006-10-26,5.99,71,24
2990,"FlatOut 2™",2006-12-21,7.99,11989,522
3010,"Xpand Rally",2006-08-24,4.99,293,73
3020,"Call of Juarez",2007-11-08,9.99,1914,445
3050,"Xpand Rally Xtreme",2008-10-08,4.99,195,66
3130,"Men of War: Red Tide",2009-11-01,4.99,541,97
3170,"King's Bounty: Armored Princess",2009-11-19,2.49,881,82
3230,"Genesis Rising",2007-08-06,4.99,40,104
3260,"Safecracker: The Ultimate Puzzle Adventure",2007-08-29,4.99,315,224
3270,"Painkiller Overdose",2007-10-30,4.99,664,226
3300,"Bejeweled 2 Deluxe",2006-08-30,4.99,385,20
3310,"Chuzzle Deluxe",2006-08-30,4.99,644,46
3320,"Insaniquarium Deluxe",2006-08-30,4.99,3590,124
3330,"Zuma Deluxe",2006-08-30,4.99,2330,129
3340,"AstroPop Deluxe",2006-08-30,4.99,58,17
3350,"Bejeweled Deluxe",2006-08-30,4.99,131,18
3360,"Big Money! Deluxe",2006-08-30,4.99,80,8
3380,"Dynomite Deluxe",2006-08-30,4.99,174,10
3390,"Feeding Frenzy 2 Deluxe",2006-08-30,4.99,1238,39
3400,"Hammer Heads Deluxe",2006-08-30,0.00,49,6
3410,"Heavy Weapon Deluxe",2006-08-30,4.99,189,45
3420,"Iggle Pop Deluxe",2006-08-30,4.99,34,6
3430,"Pizza Frenzy Deluxe",2006-08-30,4.99,125,5
3450,"Typer Shark! Deluxe",2006-08-30,4.99,213,44
3460,"Talismania Deluxe",2006-08-30,4.99,48,3
3480,"Peggle Deluxe",2007-03-06,4.99,4381,143
3483,"Peggle Extreme",2007-09-11,0.00,1282,90
3490,"Venice Deluxe",2007-06-25,0.00,18,3
3500,"Mystery P.I.™ - The Lottery Ticket",2007-10-16,4.99,30,7
3510,"Amazing Adventures The Lost Tomb™",2007-12-13,4.99,46,12
3520,"Mystery P.I.™ - The Vegas Heist",2008-06-05,4.99,26,8
3530,"Amazing Adventures Around the World",2009-04-15,4.99,50,11
3540,"Peggle™ Nights",2008-10-15,4.99,1187,61
3560,"Bejeweled Twist",2008-11-18,4.99,292,62
3570,"Mystery P.I.™ - The New York Fortune",2009-01-28,4.99,23,5
3580,"The Wizard's Pen™",2009-02-18,4.99,28,4
3590,"Plants vs. Zombies GOTY Edition",2009-05-05,4.99,81362,2372
3600,"Escape Rosecliff Island",2009-04-15,4.99,148,73
3610,"Mystery P.I. - Lost in Los Angeles",2009-07-27,4.99,25,7
3620,"Zuma's Revenge!",2009-09-15,4.99,1392,78
3700,"Sniper Elite",2009-07-16,7.99,2114,636
3710,"Judge Dredd: Dredd vs. Death",2009-03-26,7.99,810,117
3720,"Evil Genius",2009-06-22,9.99,3105,194
3800,"Advent Rising",2006-09-14,9.99,357,98
3810,"BloodRayne (Legacy)",2006-09-14,0.00,467,126
3820,"BloodRayne 2 (Legacy)",2006-09-14,0.00,316,122
3830,Psychonauts,2006-10-11,9.99,13923,701
3900,"Sid Meier's Civilization® IV",2006-10-25,19.99,2492,195
3910,"Sid Meier's Civilization® III Complete",2006-10-25,4.99,5061,619
3920,"Sid Meier's Pirates!",2005-07-11,9.99,5009,305
3960,"Shattered Union",2006-10-25,4.99,68,65
3980,"CivCity: Rome",2007-04-06,9.99,430,160
3990,"Civilization IV®: Warlords",2007-04-06,4.99,316,31
4000,"Garry's Mod",2006-11-29,9.99,822326,29004
4100,"Poker Superstars II",2006-10-05,9.99,6,7
4230,"RACE - The WTCC Game",2006-11-24,39.99,136,51
4240,"RACE - The WTCC Game",2006-11-24,39.99,121,42
4290,"RACE: Caterham Expansion",2007-06-22,4.99,6,6
4300,RoboBlitz,2006-11-07,9.99,55,19
4420,Silverfall,2007-03-20,4.99,74,50
4460,"City Life 2008",2008-09-29,2.49,130,44
4470,"Silverfall: Earth Awakening",2008-07-18,3.39,50,22
4500,"S.T.A.L.K.E.R.: Shadow of Chernobyl",2007-03-20,19.99,29072,1691
4520,"Full Spectrum Warrior",2007-07-17,9.99,161,77
4530,"Full Spectrum Warrior: Ten Hammers",2007-07-17,9.99,124,50
4560,"Company of Heroes - Legacy Edition",2007-07-17,19.99,5857,401
4570,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",2007-08-07,12.99,7417,385
4580,"Warhammer® 40,000: Dawn of War® - Dark Crusade",2007-08-07,12.99,6402,227
4700,"Total War: MEDIEVAL II – Definitive Edition",2006-11-15,24.99,24395,1057
4760,"Rome: Total War™ - Collection",2007-08-28,0.00,13620,799
4770,"Rome: Total War™ - Alexander",2007-08-28,0.00,550,187
4780,"Medieval II: Total War™ Kingdoms",2007-08-28,24.99,600,34
4800,"Heroes of Annihilated Empires",2006-11-22,7.99,474,81
4900,"Zen of Sudoku",2006-12-14,0.00,210,28
6000,"STAR WARS™ Republic Commando™",2009-07-08,9.99,12401,569
6010,"Indiana Jones® and the Fate of Atlantis™",2009-07-08,5.99,1017,60
6020,"STAR WARS™ Jedi Knight - Jedi Academy™",2009-09-16,9.99,11119,454
6030,"STAR WARS™ Jedi Knight II - Jedi Outcast™",2009-09-16,9.99,3583,349
6040,"The Dig®",2009-07-08,5.99,867,79
6060,"Star Wars: Battlefront 2 (Classic, 2005)",2009-07-08,9.99,45065,2771
6080,"Thrillville®: Off the Rails™",2009-07-08,9.99,598,49
6090,"Armed and Dangerous®",2009-07-08,5.99,217,20
6200,"Ghost Master®",2006-12-21,4.99,1429,177
6210,"Vegas: Make It Big™",2006-12-21,4.99,107,37
6220,FlatOut,2007-02-02,7.49,3552,290
6250,"Making History: The Calm & the Storm",2007-03-13,4.99,477,119
6270,"Ducati World Championship",2007-09-21,4.99,85,106
6300,"Dreamfall: The Longest Journey",2007-01-12,7.99,818,152
6310,"The Longest Journey",2007-05-01,3.99,1578,159
6400,"Joint Task Force",2007-03-27,7.99,207,28
6420,"Nexus - The Jupiter Incident",2007-07-03,9.99,712,126
6510,"Lost Planet™: Extreme Condition",2007-06-26,14.99,1120,270
6550,"Devil May Cry® 3 Special Edition",2007-06-12,19.99,2001,1337
6600,"Bullet Candy",2007-02-14,3.99,42,38
6800,"Commandos: Behind Enemy Lines",2007-03-15,4.99,2687,323
6810,"Commandos: Beyond the Call of Duty",2007-03-15,4.99,714,97
6830,"Commandos 2: Men of Courage",2007-03-15,4.99,1979,340
6840,"Commandos 3: Destination Berlin",2007-03-15,4.99,605,351
6850,"Hitman 2: Silent Assassin",2007-03-15,8.99,2484,460
6860,"Hitman: Blood Money",2007-03-15,9.99,9785,601
6870,"Battlestations: Midway",2007-03-15,6.99,598,178
6880,"Just Cause",2007-03-15,6.99,2789,1391
6900,"Hitman: Codename 47",2007-03-15,7.99,2046,779
6910,"Deus Ex: Game of the Year Edition",2007-03-29,6.99,11145,601
6920,"Deus Ex: Invisible War",2007-03-29,6.99,1046,782
6980,"Thief: Deadly Shadows",2007-03-29,8.99,1692,371
7000,"Tomb Raider: Legend",2007-03-29,6.99,3526,470
7010,"Project: Snowblind",2007-03-29,5.99,385,127
7020,"Rogue Trooper",2007-03-29,9.99,355,24
7110,"Jade Empire™: Special Edition",2007-02-27,14.99,1200,402
7200,"Trackmania United Forever",2008-04-16,29.99,1871,107
7210,"Runaway, A Road Adventure",2007-03-14,4.99,411,134
7220,"Runaway, The Dream of The Turtle",2007-03-14,4.99,145,125
7260,Loki,2007-11-05,9.99,114,73
7510,X-Blades,2009-04-30,9.99,1860,1149
7600,"Sid Meier's Railroads!",2007-05-04,9.99,1825,781
7610,"Railroad Tycoon 3",2007-05-04,9.99,699,217
7620,"Railroad Tycoon II Platinum",2007-05-04,4.99,899,120
7650,"X-COM: Terror From the Deep",2007-05-04,4.99,626,59
7660,"X-COM: Apocalypse",2008-09-04,4.99,644,81
7670,BioShock™,2007-08-21,0.00,26231,1546
7730,"X-COM: Interceptor",2008-09-04,4.99,81,76
7760,"X-COM: UFO Defense",2008-09-04,4.99,3035,170
7770,"X-COM: Enforcer",2008-09-04,4.99,191,164
7830,"Men of War™",2009-05-06,4.99,2555,309
7840,"Death Track®: Resurrection",2009-05-06,2.99,74,53
7860,NecroVision,2009-05-20,4.99,865,406
7940,"Call of Duty® 4: Modern Warfare®",2007-11-12,9.99,16788,1211
8000,"Tomb Raider: Anniversary",2007-06-05,8.99,4173,908
8080,"Kane and Lynch: Dead Men™",2007-12-13,0.00,1954,1122
8100,"Conflict: Denied Ops",2008-02-08,5.99,177,162
8140,"Tomb Raider: Underworld",2008-11-21,8.99,3702,1162
8170,"Battlestations Pacific",2009-05-12,0.00,1685,704
8200,"Sam & Max 101: Culture Shock",2007-06-15,0.00,440,51
8220,"Sam & Max 103: The Mole, the Mob and the Meatball",2007-06-15,0.00,89,13
8230,"Sam & Max 104: Abe Lincoln Must Die!",2007-06-15,0.00,399,68
8240,"Sam & Max 105: Reality 2.0",2007-06-15,0.00,84,7
8250,"Sam & Max 106: Bright Side of the Moon",2007-06-15,0.00,79,8
8260,"Sam & Max 201: Ice Station Santa",2008-05-16,0.00,160,20
8270,"Sam & Max 202: Moai Better Blues",2008-05-16,0.00,66,15
8280,"Sam & Max 203: Night of the Raving Dead",2008-05-16,0.00,68,9
8300,"Sam & Max 205: What's New Beelzebub?",2008-05-16,0.00,61,9
8310,"Bone: Out From Boneville",2008-06-17,0.00,93,84
8320,"Bone: The Great Cow Race",2008-06-17,0.00,61,39
8330,"Telltale Texas Hold ‘Em",2008-06-17,0.99,113,99
8340,"Strong Bad's Cool Game for Attractive People: Season 1",2008-12-18,14.99,336,31
8400,"Geometry Wars: Retro Evolved",2007-06-18,3.99,777,86
8600,"RACE 07",2007-10-15,3.99,2078,373
8640,"RACE On",2009-10-16,7.99,0,0
8780,"RACE On",2009-10-16,7.99,0,0
8800,"Civilization IV: Beyond the Sword",2007-07-24,9.99,3245,124
8880,"Freedom Force",2009-05-29,4.99,256,210
8890,"Freedom Force vs. the Third Reich",2009-05-29,4.99,200,36
9000,"Spear of Destiny",2007-08-03,2.99,399,69
9010,"Return to Castle Wolfenstein",2007-08-03,4.99,6043,452
9030,"QUAKE Mission Pack 2: Dissolution of Eternity",2007-08-03,0.00,304,27
9040,"QUAKE Mission Pack 1: Scourge of Armagon",2007-08-03,0.00,406,24
9050,"DOOM 3",2007-08-03,4.99,5555,683
9060,"HeXen II",2007-08-03,4.99,321,66
9160,"Master Levels for Doom II",2007-08-03,14.99,527,161
9180,"Commander Keen",2007-08-03,4.99,1204,84
9310,"Warhammer® 40,000: Dawn of War® – Winter Assault",2007-08-07,12.99,1401,161
9340,"Company of Heroes: Opposing Fronts",2007-09-24,19.99,856,77
9450,"Warhammer® 40,000: Dawn of War® - Soulstorm",2008-03-05,12.99,12358,588
9460,"Frontlines™: Fuel of War™",2008-02-29,19.99,537,279
9480,"Saints Row 2",2009-01-07,9.99,13154,3883
9500,Gish,2007-07-20,9.99,245,172
9710,"Desperados 2: Cooper's Revenge",2008-03-12,9.99,95,111
9730,"Tycoon City: New York",2008-03-12,1.99,0,0
9760,"Act of War: High Treason",2008-03-12,2.99,319,75
9800,"Death to Spies",2008-03-12,4.99,587,199
9850,"Codename: Panzers - Cold War",2009-05-06,14.99,142,76
10090,"Call of Duty: World at War",2008-11-18,19.99,38439,3363
10100,"King's Quest™ Collection",2009-07-23,19.99,236,44
10110,"Space Quest™ Collection",2009-07-23,19.99,256,51
10120,"Aces of the Galaxy™",2009-07-23,9.99,18,21
10130,TimeShift™,2009-07-23,19.99,872,230
10140,"3D Ultra™ Minigolf Adventures",2009-07-23,9.99,68,38
10150,Prototype™,2009-06-10,19.99,6973,1701
10180,"Call of Duty®: Modern Warfare® 2 (2009)",2009-11-11,19.99,44225,3285
10190,"Call of Duty®: Modern Warfare® 2 (2009)",2009-11-11,19.99,31945,2927
10460,"The Club™",2008-02-20,14.99,82,64
10500,"Total War: EMPIRE – Definitive Edition",2009-03-04,24.99,25868,2598
10520,"Beijing 2008™ - The Official Video Game of the Olympic Games",2008-08-14,0.00,0,0
11020,"TrackMania Nations Forever",2008-04-16,0.00,17250,2117
11040,"Sherlock Holmes - Nemesis",2008-08-07,1.99,314,116
11050,"Dracula: Origin",2008-08-07,9.99,152,73
11130,"Sherlock Holmes: The Mystery of the Mummy",2009-08-06,0.00,106,253
11140,"Sherlock Holmes: The Awakened - Remastered Edition",2009-08-06,9.99,388,147
11150,"Sherlock Holmes: The Silver Earring",2009-08-06,9.99,268,174
11190,"Sherlock Holmes versus Jack the Ripper",2009-12-23,9.99,677,179
11200,"Shadowgrounds Survivor",2007-11-14,9.99,416,283
11230,"Gumboy Tournament",2008-05-19,2.99,331,139
11240,"Space Trader: Merchant Marine",2008-10-23,4.99,313,320
11250,"Pacific Storm",2008-06-24,7.99,27,15
11260,"Pacific Storm Allies",2008-08-18,7.99,113,78
11280,"Penguins Arena: Sedna's World",2008-12-18,5.99,1116,132
11330,Obulis,2009-03-19,0.00,635,143
11340,"Larva Mortus",2009-03-19,2.99,556,177
11360,Chains,2009-07-01,2.99,447,151
11370,"Nikopol: Secrets of the Immortals",2009-07-30,4.99,190,156
11390,"Crash Time 2",2009-08-27,1.24,0,0
11450,Overlord™,2007-10-26,4.99,5087,364
11560,"Maelstrom: The Battle for Earth Begins",2009-02-13,4.99,90,56
11590,"Hospital Tycoon",2009-02-13,4.99,225,332
11920,"LUMINES™ Advance Pack",2008-04-18,0.00,20,3
12100,"Grand Theft Auto III",2008-01-04,0.00,11878,1856
12110,"Grand Theft Auto: Vice City",2008-01-04,0.00,25698,2047
12120,"Grand Theft Auto: San Andreas",2008-01-04,0.00,73138,6484
12130,Manhunt,2008-01-04,3.49,2052,928
12150,"Max Payne 2: The Fall of Max Payne",2008-01-04,4.49,6398,375
12160,"Midnight Club 2",2008-01-04,0.00,789,116
12170,"Grand Theft Auto",2008-01-04,0.00,285,54
12180,"Grand Theft Auto 2",2008-01-04,0.00,312,26
12200,"Bully: Scholarship Edition",2008-10-21,5.24,19274,3597
12310,"Culpa Innata",2008-01-18,9.99,69,22
12320,"Sacred Gold",2008-07-09,9.99,2777,515
12330,"Darkstar One",2008-02-13,9.99,405,87
12340,"Jack Keane",2008-06-27,9.99,60,37
12360,"FlatOut: Ultimate Carnage",2008-08-26,7.99,3430,547
12370,"Jagged Alliance 2 Gold",2006-07-06,19.99,0,0
12380,"Jagged Alliance 2 Gold",2006-07-06,19.99,0,0
12390,"Exodus from the Earth",2008-10-24,14.99,72,67
12420,"Perimeter 2: New Earth",2009-02-10,14.99,14,53
12430,"SlamIt Pinball Big Score",2009-02-23,4.99,39,80
12440,"Ankh 2: Heart of Osiris",2009-06-16,0.99,37,19
12450,"Ankh 3: Battle of the Gods",2009-06-16,1.49,23,11
12460,"BC Kings",2009-06-16,4.99,113,75
12470,"Port Royale 2",2009-06-16,4.99,349,144
12480,"9th Company: Roots Of Terror",2009-12-03,0.99,111,82
12500,"PuzzleQuest: Challenge of the Warlords",2008-01-29,9.99,783,116
12510,"Prison Tycoon 3™: Lockdown",2008-01-29,9.99,22,95
12520,"18 Wheels of Steel: American Long Haul",2008-01-29,9.99,318,125
12530,"Hunting Unlimited™ 2008",2008-01-29,9.99,44,10
12540,"Mahjongg Investigations: Under Suspicion",2008-07-29,9.99,23,7
12560,"Ride! Carnival Tycoon",2008-07-29,9.99,18,27
12570,"Hot Dish",2008-07-29,9.99,14,15
12580,"Dr. Daisy Pet Vet",2008-07-29,9.99,12,13
12590,"Sprint Cars Road to Knoxville",2008-07-29,9.99,31,28
12600,"Midnight Outlaw: 6 Hours to SunUp",2008-07-29,9.99,15,32
12640,Drakensang,2009-03-09,9.99,440,112
12650,"Fetch It Again",2009-07-17,6.99,2,2
12660,"Miss Popularity",2009-07-17,6.99,5,1
12670,"Mission Runway",2009-07-17,9.99,13,8
12690,"Hunting Unlimited 2010",2009-07-07,9.99,211,46
12710,"Overlord™: Raising Hell",2008-02-28,9.99,1624,113
12770,"Rise of the Argonauts",2009-01-07,9.99,492,205
12790,Damnation,2009-05-22,9.99,187,224
12810,"Overlord II",2009-06-23,9.99,3441,440
12830,"Operation Flashpoint: Dragon Rising",2009-10-06,9.99,1448,701
12900,AudioSurf,2008-02-15,9.99,10056,441
13000,"Ninja Reflex: Steamworks Edition",2008-03-21,4.99,52,6
13140,"America's Army 3",2009-06-17,0.00,1655,723
13200,"Unreal 2: The Awakening",2008-03-17,14.99,361,158
13210,"Unreal Tournament 3 Black",2009-03-05,19.99,3166,354
13230,"Unreal Tournament 2004: Editor's Choice Edition",2004-03-17,14.99,3359,84
13240,"Unreal Tournament: Game of the Year Edition",2008-03-17,9.99,3380,102
13250,"Unreal Gold",2008-03-17,9.99,1824,216
13500,"Prince of Persia: Warrior Within™",2008-11-21,9.99,1807,307
13520,"Far Cry®",2008-04-01,9.99,5672,1217
13530,"Prince of Persia: The Two Thrones™",2008-11-21,9.99,1047,282
13540,"Tom Clancy's Rainbow Six® Vegas",2008-04-09,9.99,744,196
13560,"Tom Clancy's Splinter Cell®",2008-04-01,9.99,1929,280
13570,"Tom Clancy's Splinter Cell Chaos Theory®",2009-08-27,9.99,3359,233
13580,"Tom Clancy's Splinter Cell Double Agent®",2009-02-13,9.99,510,773
13600,"Prince of Persia®: The Sands of Time",2008-11-21,9.99,2223,349
13620,"Tom Clancy's Ghost Recon® Desert Siege™",2008-07-15,4.99,82,5
13630,"Tom Clancy's Ghost Recon® Island Thunder™",2008-07-15,4.99,81,12
15000,"Tom Clancy's Rainbow Six Lockdown™",2008-05-13,9.99,185,134
15080,"Rayman Raving Rabbids™",2008-06-13,9.99,735,149
15100,"Assassin's Creed™: Director's Cut Edition",2008-04-09,19.99,11496,2260
15120,"Tom Clancy's Rainbow Six® Vegas 2",2008-04-16,9.99,3891,689
15130,"Beyond Good and Evil™",2008-05-13,9.99,2521,377
15160,"Petz® Horsez® 2",2008-06-13,9.99,110,44
15170,"Heroes of Might & Magic V",2008-05-13,9.99,2582,355
15190,"Brothers in Arms: Road to Hill 30™",2008-05-13,9.99,1153,159
15200,"Silent Hunter®: Wolves of the Pacific",2008-06-13,9.99,537,249
15210,"Silent Hunter® III",2008-06-13,2.49,1607,229
15240,"Silent Hunter®: Wolves of the Pacific U-Boat Missions",2008-06-13,9.99,189,49
15270,"Cold Fear™",2008-05-13,9.99,648,126
15280,"IL-2 Sturmovik: 1946",2008-06-13,9.99,1355,198
15300,"Tom Clancy's Ghost Recon®",2008-07-15,9.99,992,76
15320,"IL-2 Sturmovik: 1946",2008-06-13,9.99,2148,274
15350,"Brain Spa",2008-10-10,9.99,4,5
15370,"Heroes of Might & Magic V: Tribes of the East",2008-10-10,9.99,2021,151
15380,"Heroes of Might & Magic V: Hammers of Fate",2008-10-10,9.99,204,34
15390,"Brothers in Arms: Hell's Highway™",2008-10-08,9.99,1433,153
15400,"Harvest: Massive Encounter",2009-01-23,7.99,109,30
15500,"The Wonderful End of the World",2008-07-17,4.99,465,143
15520,"AaAaAA!!! - A Reckless Disregard for Gravity",2009-09-03,4.99,593,115
15620,"Warhammer 40,000: Dawn of War II",2009-02-18,19.99,9013,1090
15700,"Oddworld: Abe's Oddysee®",2008-08-28,2.99,3407,575
15710,"Oddworld: Abe's Exoddus®",2008-08-28,2.99,1267,69
15800,"Planet Busters",2008-06-30,9.99,1,2
15900,"7 Wonders II",2008-06-10,9.99,131,38
15910,"Luxor Amun Rising",2008-06-10,9.99,13,7
15920,"Luxor 2",2008-06-10,9.99,11,21
15930,"Luxor 3",2008-06-10,9.99,127,16
15960,"Little Farm",2008-06-10,9.99,77,37
15970,Luxor,2008-06-10,9.99,56,27
16000,"Discovery! A Seek and Find Adventure",2008-07-29,9.99,26,35
16020,"Samantha Swift and the Hidden Roses of Athena",2008-10-31,9.99,43,32
16030,"7 Wonders: Treasures of Seven",2008-11-14,9.99,89,34
16040,"Luxor: Quest for the Afterlife",2008-12-15,9.99,67,19
16060,"Samantha Swift and the Golden Touch",2009-04-29,9.99,33,45
16100,"Virtual Villagers: A New Home",2008-05-12,9.99,63,14
16110,"Virtual Villagers: The Lost Children",2008-05-12,9.99,44,5
16120,"Plant Tycoon",2008-05-12,9.99,118,8
16130,"Fish Tycoon",2008-05-12,9.99,58,12
16180,"Virtual Villagers - The Secret City",2008-05-28,9.99,86,8
16200,"Virtual Families",2009-05-06,9.99,41,9
16300,"Everyday Shooter",2008-05-08,9.99,95,7
16450,"F.E.A.R. 2: Project Origin",2009-02-12,14.99,5318,844
16500,"Chaos Theory",2008-05-22,2.99,10,2
16600,"Trials 2: Second Edition",2008-05-28,9.99,200,37
16620,"Monster Trucks Nitro",2009-01-29,19.99,29,16
16710,"Insecticide Part 1",2008-07-01,2.99,325,115
16720,"Velvet Assassin",2009-05-01,4.99,1435,908
16730,Legendary,2008-12-01,4.99,1291,1093
16810,"Sid Meier's Civilization IV: Colonization",2008-09-23,19.99,825,143
17100,"Children of the Nile: Enhanced Edition",2008-07-08,7.99,305,61
17120,"Children of the Nile: Alexandria",2008-09-22,2.49,111,23
17140,Hinterland,2008-09-30,9.99,166,48
17180,"Mosby's Confederacy",2008-11-19,9.99,24,12
17300,Crysis,2008-09-17,29.99,10238,2623
17330,"Crysis Warhead®",2008-09-17,19.99,2750,492
17340,"Crysis Warhead®",2008-09-17,19.99,1783,324
17390,SPORE™,2008-12-19,19.99,41718,3650
17410,"Mirror's Edge™",2009-01-14,19.99,28497,4053
17430,"Need for Speed Undercover",2008-12-19,0.00,5757,1934
17440,"SPORE™ Creepy & Cute Parts Pack",2008-12-19,19.99,1317,169
17450,"Dragon Age: Origins",2009-11-06,0.00,9579,860
17460,"Mass Effect (2007)",2008-12-19,19.99,14834,992
17470,"Dead Space",2009-01-09,19.99,20216,1946
17480,"Command & Conquer: Red Alert 3",2009-01-08,19.99,9390,1635
17500,"Zombie Panic! Source",2008-10-03,0.00,6149,1102
17580,Dystopia,2009-02-06,0.00,841,155
17740,"Empires Mod",2008-07-28,0.00,820,138
18000,"Precipice of Darkness, Episode One",2008-05-21,7.99,427,54
18020,"Precipice of Darkness, Episode Two",2008-11-07,7.99,143,29
18110,"Shattered Horizon",2009-11-04,0.00,398,72
18300,Spectraball,2008-10-20,4.99,358,113
18400,"Crazy Machines 2",2008-06-20,9.99,107,126
18420,"Crazy Machines",2008-12-12,9.99,130,31
18430,"Crazy Machines 1.5",2008-12-12,9.99,2,1
18450,"Crazy Machines 1.5",2008-12-12,9.99,1,1
18460,"Crazy Machines 1.5",2008-12-12,9.99,1,1
18470,Helldorado,2009-04-30,9.99,93,37
18480,"Mata Hari",2009-07-29,9.99,69,49
18500,"Defense Grid: The Awakening",2008-12-08,9.99,4350,157
18600,"Mayhem Intergalactic",2009-01-22,9.99,13,12
18700,"And Yet It Moves",2009-04-02,9.99,812,367
19000,"Silent Hill Homecoming",2008-11-06,39.99,953,996
